        Energy   CumulativeEnergy
      2.4142150      2.4142150
      2.4142150      4.8284300
      2.4142150      7.2426450
      2.4142150      9.6568600
      2.4142150      12.071075
      2.4142150      14.485290
      2.4142150      16.899505
      2.4142150      19.313720
      2.4142150      21.727935
      2.4142150      24.142150
      2.4142150      26.556365
      2.4142150      28.970580
      2.4142150      31.384795
      2.4142150      33.799010
      2.4142150      36.213225
      2.4142150      38.627440
      2.4142150      41.041655
      2.4142150      43.455870
      2.4142150      45.870085
      2.4142150      48.284300
      2.4142150      50.698515
      2.4142150      53.112730
      2.4142150      55.526945
      2.4142150      57.941160
      2.4142150      60.355375
      2.4142150      62.769590
      2.4142150      65.183805
      2.4142150      67.598020
      2.4142150      70.012235
      2.4142150      72.426450
      2.4142150      74.840665
      2.4142150      77.254880
      2.4142150      79.669095
      2.4142150      82.083310
      2.4142150      84.497525
      2.4142150      86.911740
      2.4142150      89.325955
      2.4142150      91.740170
      2.4142150      94.154385
      2.4142150      96.568600
      2.4142150      98.982815
      2.4142150      101.39703
      2.4142150      103.81124
      2.4142150      106.22546
      2.4142150      108.63967
      2.4142150      111.05389
      2.4142150      113.46810
      2.4142150      115.88232
      2.4142150      118.29653
      2.4142150      120.71075
      2.4142150      123.12496
      2.4142150      125.53918
      2.4142150      127.95339
      2.4142150      130.36761
      2.4142150      132.78182
      2.4142150      135.19604
      2.4142150      137.61025
      2.4142150      140.02447
      2.4142150      142.43869
      2.4142150      144.85290
      2.4142150      147.26712
      2.4142150      149.68133
      2.4142150      152.09555
      2.4142150      154.50976
      2.4142150      156.92398
      2.4142150      159.33819
      2.4142150      161.75241
      2.4142150      164.16662
      2.4142150      166.58084
      2.4142150      168.99505
      2.4142150      171.40927
      2.4142150      173.82348
      2.4142150      176.23770
      2.4142150      178.65191
      2.4142150      181.06613
      2.4142150      183.48034
      2.4142150      185.89456
      2.4142150      188.30877
      2.4142150      190.72299
      2.4142150      193.13720
      2.4142150      195.55142
      2.4142150      197.96563
      2.4142150      200.37985
      2.4142150      202.79406
      2.4142150      205.20828
      2.4142150      207.62249
      2.4142150      210.03671
      2.4142150      212.45092
      2.4142150      214.86514
      2.4142150      217.27935
      2.4142150      219.69357
      2.4142150      222.10778
      2.4142150      224.52200
      2.4142150      226.93621
      2.4142150      229.35043
      2.4142150      231.76464
      2.4142150      234.17886
      2.4142150      236.59307
      2.4142150      239.00729
      2.4142150      241.42150
      2.4142150      243.83572
      2.4142150      246.24993
      2.4142150      248.66415
      2.4142150      251.07836
      2.4142150      253.49258
      2.4142150      255.90679
      2.4142150      258.32101
      2.4142150      260.73522
      2.4142150      263.14944
      2.4142150      265.56365
      2.4142150      267.97787
      2.4142150      270.39208
      2.4142150      272.80630
      2.4142150      275.22051
      2.4142150      277.63473
      2.4142150      280.04894
      2.4142150      282.46316
      2.4142150      284.87737
      2.4142150      287.29159
      2.4142150      289.70580
      2.4142150      292.12002
      2.4142150      294.53423
      2.4142150      296.94845
      2.4142150      299.36266
      2.4142150      301.77688
