         Alpha         Energy      Derivative
     0.68875315      6.2390105     -58.875315
     0.67836565      2.5802424      1.0387492
     0.66857166      2.5774524     0.97939950
     0.65886482      2.5260838     0.97068424
     0.64956585      2.5246384     0.92989695
     0.64132736      2.5486182     0.82384876
     0.63247181      2.4794785     0.88555472
     0.62196968      2.4548309      1.0502134
     0.61283441      2.4699351     0.91352665
     0.60495954      2.4620698     0.78748757
     0.59826095      2.4823850     0.66985882
     0.58988764      2.4412418     0.83733053
     0.58276760      2.4369403     0.71200420
     0.57669357      2.4543844     0.60740297
     0.57135316      2.4498238     0.53404123
     0.56588905      2.4345486     0.54641090
     0.56074106      2.4292757     0.51479872
     0.55557833      2.4306935     0.51627324
     0.55152089      2.4407187     0.40574376
     0.54698707      2.4231313     0.45338192
     0.54299174      2.4277488     0.39953291
     0.53904949      2.4198244     0.39422522
     0.53553288      2.4220741     0.35166095
     0.53234239      2.4158177     0.31904926
     0.52925569      2.4157171     0.30867009
     0.52624207      2.4076053     0.30136172
     0.52406238      2.4168836     0.21796878
     0.52226495      2.4212372     0.17974306
     0.51998810      2.4133205     0.22768494
     0.51806128      2.4138537     0.19268239
     0.51652167      2.4162280     0.15396121
     0.51511707      2.4145305     0.14045991
     0.51360509      2.4122282     0.15119775
     0.51204090      2.4111333     0.15641924
     0.51104446      2.4178656    0.099644207
     0.51013261      2.4168909    0.091184266
     0.50913529      2.4148572    0.099732855
     0.50836536      2.4160386    0.076992881
     0.50758838      2.4142775    0.077697927
     0.50687347      2.4140844    0.071491231
     0.50633842      2.4168533    0.053504383
     0.50571084      2.4146499    0.062758222
     0.50515988      2.4147513    0.055095872
     0.50474817      2.4149848    0.041170668
     0.50429412      2.4138869    0.045405884
     0.50386923      2.4139961    0.042488373
     0.50352202      2.4147261    0.034721457
     0.50317054      2.4141448    0.035148007
     0.50285751      2.4141333    0.031302635
     0.50254854      2.4137909    0.030897416
     0.50230166      2.4139567    0.024687222
     0.50204172      2.4135773    0.025994322
     0.50185207      2.4140301    0.018965575
     0.50169725      2.4147058    0.015481057
     0.50151481      2.4142521    0.018244440
     0.50137241      2.4141911    0.014240113
     0.50126485      2.4145774    0.010756103
     0.50114602      2.4140555    0.011882547
     0.50103485      2.4142517    0.011117696
     0.50093639      2.4142985   0.0098459575
     0.50085854      2.4143739   0.0077844221
     0.50076904      2.4141771   0.0089505477
     0.50069189      2.4140766   0.0077143852
     0.50062785      2.4142579   0.0064046778
     0.50056278      2.4140243   0.0065061555
     0.50051004      2.4142396   0.0052741957
     0.50045841      2.4141386   0.0051630867
     0.50041345      2.4142074   0.0044965506
     0.50037317      2.4142280   0.0040280429
     0.50033906      2.4143004   0.0034100651
     0.50031058      2.4142364   0.0028481076
     0.50028749      2.4143329   0.0023089508
     0.50025675      2.4141933   0.0030745197
     0.50023237      2.4141854   0.0024376864
     0.50020941      2.4142089   0.0022965060
     0.50019158      2.4142695   0.0017822018
     0.50017361      2.4142269   0.0017970709
     0.50015228      2.4141698   0.0021334601
     0.50013691      2.4141886   0.0015368565
     0.50012260      2.4142038   0.0014312755
     0.50011133      2.4142263   0.0011271411
     0.50009979      2.4142085   0.0011537506
     0.50008877      2.4141960   0.0011018055
     0.50007887      2.4142034  0.00099016984
     0.50007277      2.4142381  0.00060952177
     0.50006588      2.4142092  0.00068977856
     0.50005998      2.4142231  0.00058936480
     0.50005480      2.4142225  0.00051835657
     0.50005014      2.4142313  0.00046592873
     0.50004592      2.4142158  0.00042212456
     0.50004151      2.4142267  0.00044091020
     0.50003729      2.4142070  0.00042167687
     0.50003322      2.4142079  0.00040692991
     0.50002979      2.4142141  0.00034367062
     0.50002670      2.4142119  0.00030903143
     0.50002378      2.4142051  0.00029169936
     0.50002124      2.4142129  0.00025371263
     0.50001922      2.4142148  0.00020266098
     0.50001737      2.4142138  0.00018437520
     0.50001577      2.4142211  0.00016013258
