          Alpha         Energy     Derivative
     0.30000000      27.576323     -52.614550
     0.82614550      26.957685      13.543800
     0.69070750      25.154959      10.704915
     0.58365835      24.432862      6.7187908
     0.51647044      24.174484      1.2088679
     0.50438176      24.051860   -0.078890955
     0.50517067      24.139299     0.40618848
     0.50110879      24.128613    0.069229870
     0.50041649      24.117034    0.032316757
     0.50009332      24.115113  -0.0016927820
