           Bins        Counter
      0.0000000          49311
     0.10000000          34410
     0.20000000          19228
     0.30000000          14212
     0.40000000           8565
     0.50000000           5455
     0.60000000           3518
     0.70000000           1939
     0.80000000           1268
     0.90000000            385
      1.0000000            338
      1.1000000             77
      1.2000000             61
      1.3000000             22
      1.4000000              6
      1.5000000             37
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
