           Bins        Counter
      0.0000000          25162
     0.10000000          16240
     0.20000000           9137
     0.30000000           6538
     0.40000000           3732
     0.50000000           2806
     0.60000000           1515
     0.70000000            964
     0.80000000            499
     0.90000000            165
      1.0000000             60
      1.1000000              1
      1.2000000             39
      1.3000000              7
      1.4000000             48
      1.5000000             56
      1.6000000             40
      1.7000000             10
      1.8000000              0
      1.9000000              0
