           Bins        Counter
      0.0000000          24718
     0.10000000          17413
     0.20000000          10486
     0.30000000           6974
     0.40000000           3409
     0.50000000           2533
     0.60000000           1548
     0.70000000           1058
     0.80000000            737
     0.90000000            448
      1.0000000            276
      1.1000000            125
      1.2000000             46
      1.3000000             11
      1.4000000              0
      1.5000000              0
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
