           Bins        Counter
      0.0000000          27694
     0.10000000          18667
     0.20000000          10642
     0.30000000           8351
     0.40000000           4182
     0.50000000           2073
     0.60000000           1779
     0.70000000            905
     0.80000000            444
     0.90000000            155
      1.0000000             75
      1.1000000             84
      1.2000000              5
      1.3000000              0
      1.4000000              0
      1.5000000              0
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
