           Bins        Counter
      0.0000000          87956
    0.050000000          73863
     0.10000000          66764
     0.15000000          57392
     0.20000000          49820
     0.25000000          40101
     0.30000000          33896
     0.35000000          27699
     0.40000000          25176
     0.45000000          19723
     0.50000000          16145
     0.55000000          12809
     0.60000000           9572
     0.65000000           8080
     0.70000000           6114
     0.75000000           4559
     0.80000000           4510
     0.85000000           3340
     0.90000000           2771
     0.95000000           1793
      1.0000000           1382
      1.0500000           1211
      1.1000000           1034
      1.1500000            839
      1.2000000            625
      1.2500000            443
      1.3000000            462
      1.3500000            338
      1.4000000            194
      1.4500000             69
      1.5000000             37
      1.5500000             44
      1.6000000             79
      1.6500000              0
      1.7000000              0
      1.7500000              0
      1.8000000              0
      1.8500000              0
      1.9000000              0
      1.9500000              0
