      Iteration         Energy
              1     0.49999956
              2     0.50002889
              3     0.50001276
              4     0.50000521
              5     0.50000865
              6     0.50001116
              7     0.50001566
              8     0.50002638
              9     0.50002090
             10     0.50002560
             11     0.50001104
             12     0.50002236
             13     0.50000374
             14     0.50001049
             15     0.50001823
             16     0.50001502
             17     0.50002292
             18     0.50001354
             19     0.50000772
             20     0.50002356
             21     0.50001154
             22     0.50001779
             23     0.50000601
             24     0.50001312
             25     0.50000826
             26     0.50001492
             27     0.50001295
             28     0.50001344
             29     0.50000915
             30     0.50001146
             31     0.50000797
             32     0.50001966
             33     0.50001627
             34     0.50002157
             35     0.50001677
             36     0.50002153
             37     0.50001996
             38     0.50001792
             39     0.50001822
             40     0.50001007
             41     0.50001265
             42     0.50002393
             43     0.50001656
             44     0.50002116
             45     0.50001869
             46     0.50001689
             47     0.50001089
             48     0.50001469
             49     0.50002167
             50     0.50001927
             51     0.50001773
             52     0.50001708
             53     0.50001097
             54     0.50001745
             55     0.50001365
             56     0.50001485
             57     0.50001847
             58     0.50001658
             59     0.50001616
             60     0.50001816
             61     0.50001158
             62     0.50000887
             63     0.50001454
             64     0.50001388
             65     0.50000931
             66     0.50001313
             67     0.50001350
             68     0.50001388
             69     0.50001591
             70     0.50001223
             71     0.50001820
             72     0.50001537
             73     0.50001572
             74     0.50001555
             75     0.50001066
             76     0.50001352
             77     0.50001460
             78     0.50001928
             79     0.50001796
             80     0.50001971
             81     0.50001620
             82     0.50001530
             83     0.50001467
             84     0.50001942
             85     0.50001585
             86     0.50001756
             87     0.50001507
             88     0.50001243
             89     0.50001614
             90     0.50001617
             91     0.50001314
             92     0.50001440
             93     0.50001657
             94     0.50001568
             95     0.50001526
             96     0.50001653
             97     0.50001630
             98     0.50001656
             99     0.50001677
            100     0.50001987
