      Iteration         Energy
              1     0.71453681
              2     0.69305440
              3     0.67750777
              4     0.67413825
              5     0.65755752
              6     0.64552425
              7     0.65399251
              8     0.63770767
              9     0.62150228
             10     0.65975299
             11     0.62529224
             12     0.59576215
             13     0.62743313
             14     0.59286362
             15     0.62371910
             16     0.57866899
             17     0.57121037
             18     0.59713541
             19     0.56879169
             20     0.57162300
             21     0.56216511
             22     0.55080466
             23     0.57121530
             24     0.55694239
             25     0.55922807
             26     0.54654414
             27     0.55215393
             28     0.52999903
             29     0.55233349
             30     0.54034949
             31     0.55483258
             32     0.53588867
             33     0.53256643
             34     0.52280885
             35     0.52321938
             36     0.53105087
             37     0.52197534
             38     0.52632028
             39     0.52169288
             40     0.50834979
             41     0.52133803
             42     0.51079787
             43     0.52469251
             44     0.52122569
             45     0.50801326
             46     0.52661477
             47     0.51695694
             48     0.51671812
             49     0.52287827
             50     0.51088202
