      Iteration         Energy           Time
              1      4.1083132      79.710197
              2      4.1073952      79.682375
              3      4.0861380      79.677235
              4      4.0963217      79.682939
              5      4.0778983      79.697400
              6      4.0769431      79.687880
              7      4.0671893      79.691592
              8      4.0544719      79.712077
              9      4.0553962      79.678250
             10      4.0367622      79.730228
             11      4.0468946      79.731164
             12      4.0390341      79.709451
             13      4.0344487      79.720556
             14      4.0262855      79.731761
             15      4.0196811      79.711712
             16      4.0158046      79.692195
             17      4.0215434      79.691118
             18      4.0131101      79.893275
             19      4.0025291      79.911436
             20      3.9836769      79.661567
             21      3.9978264      79.685583
             22      3.9845062      79.633200
             23      3.9809472      79.613479
             24      3.9715139      79.609001
             25      3.9651338      79.613532
             26      3.9656582      79.637165
             27      3.9609673      79.622642
             28      3.9652261      79.642458
             29      3.9496162      79.626706
             30      3.9454721      79.635927
             31      3.9313546      79.594977
             32      3.9361272      79.661954
             33      3.9282189      79.606458
             34      3.9208167      79.634324
             35      3.9215316      79.659057
             36      3.9129551      79.592995
             37      3.9100140      79.606154
             38      3.9055467      79.605614
             39      3.9058577      79.573683
             40      3.9010853      79.569895
             41      3.8954617      79.606315
             42      3.8908228      79.596885
             43      3.8887420      79.591616
             44      3.8865342      79.601484
             45      3.8708747      79.599488
             46      3.8695696      79.569852
             47      3.8772797      79.664980
             48      3.8636055      79.649758
             49      3.8562291      79.722349
             50      3.8523515      79.719537
             51      3.8511473      79.704946
             52      3.8480848      79.699378
             53      3.8451077      79.700100
             54      3.8334694      79.692279
             55      3.8350424      79.689777
             56      3.8286657      79.697175
             57      3.8243979      79.655226
             58      3.8263370      79.723620
             59      3.8161504      79.711438
             60      3.8154764      79.718354
             61      3.8163807      79.710754
             62      3.8139681      79.684854
             63      3.7949857      79.658878
             64      3.8022596      79.694609
             65      3.8089773      79.685503
             66      3.7964706      79.690875
             67      3.7931635      79.689401
             68      3.7905219      79.695686
             69      3.7863437      79.696316
             70      3.7799032      79.687332
             71      3.7770206      79.699630
             72      3.7655174      79.688759
             73      3.7743009      79.672992
             74      3.7715441      79.684831
             75      3.7623691      79.661100
             76      3.7580257      79.668694
             77      3.7552616      79.672807
             78      3.7497946      79.706936
             79      3.7453355      79.691205
             80      3.7493887      79.702824
             81      3.7486792      79.674903
             82      3.7339247      79.684852
             83      3.7374177      79.675315
             84      3.7385643      79.483861
             85      3.7312484      79.465884
             86      3.7311458      79.473184
             87      3.7210135      79.495815
             88      3.7253997      79.484033
             89      3.7223447      79.456985
             90      3.7205081      79.495933
             91      3.7137053      79.479575
             92      3.7041142      79.482793
             93      3.7058961      79.477628
             94      3.6960129      79.461569
             95      3.7052472      79.452945
             96      3.6964467      79.489848
             97      3.6923995      79.487378
             98      3.6991976      79.522953
             99      3.6912395      79.523856
            100      3.6929252      79.502887
            101      3.6794935      79.505753
            102      3.6890933      79.481467
            103      3.6728398      79.457284
            104      3.6836610      79.466555
            105      3.6778655      79.460077
            106      3.6808450      79.450461
            107      3.6684907      79.472765
            108      3.6677659      79.483125
            109      3.6650591      79.538251
            110      3.6654873      79.510184
            111      3.6623465      79.513243
            112      3.6500919      79.529579
            113      3.6552505      79.499906
            114      3.6541923      79.502003
            115      3.6538588      79.539066
            116      3.6499535      79.506272
            117      3.6511314      79.489246
            118      3.6400324      79.495885
            119      3.6458548      79.503575
            120      3.6361877      79.505864
            121      3.6306882      79.491682
            122      3.6318219      79.498928
            123      3.6287784      79.489623
            124      3.6260051      79.512728
            125      3.6140359      79.501728
            126      3.6225901      79.508168
            127      3.6189604      79.483452
            128      3.6206242      79.480753
            129      3.6185778      79.476354
            130      3.6134171      79.483992
            131      3.6194817      79.491838
            132      3.6081054      79.512233
            133      3.6072927      79.511380
            134      3.6006288      79.505361
            135      3.6095017      79.480099
            136      3.6015791      79.481585
            137      3.6004283      79.487124
            138      3.5994927      79.525422
            139      3.5941376      79.500791
            140      3.5933405      79.504353
            141      3.5922317      79.516856
            142      3.5843402      79.489395
            143      3.5886232      79.485685
            144      3.5868900      79.506655
            145      3.5816443      79.483515
            146      3.5840639      79.475793
            147      3.5749349      79.496510
            148      3.5765634      79.464405
            149      3.5800538      79.487758
            150      3.5734247      79.510112
            151      3.5744674      79.498493
            152      3.5759465      79.474759
            153      3.5674978      79.474027
            154      3.5590146      79.476282
            155      3.5712004      79.470432
            156      3.5581260      79.485659
            157      3.5582512      79.447616
            158      3.5582436      79.478285
            159      3.5535078      79.494064
            160      3.5546600      79.445043
            161      3.5516453      79.519838
            162      3.5514937      79.503644
            163      3.5489052      79.483977
            164      3.5482873      79.492876
            165      3.5394828      79.499644
            166      3.5405967      79.481816
            167      3.5421969      79.470973
            168      3.5373571      79.514284
            169      3.5376965      79.516459
            170      3.5341916      79.461247
            171      3.5323161      79.484376
            172      3.5314960      79.477915
            173      3.5329205      79.489129
            174      3.5302817      79.508659
            175      3.5213816      79.496475
            176      3.5274479      79.480713
            177      3.5246282      79.500925
            178      3.5253528      79.472647
            179      3.5250475      79.458696
            180      3.5177960      79.456190
            181      3.5153664      79.501335
            182      3.5197374      79.493797
            183      3.5129810      79.489760
            184      3.5110387      79.465797
            185      3.5087660      79.482181
            186      3.5095660      79.518742
            187      3.5088854      79.555912
            188      3.5096455      79.529079
            189      3.5015613      79.492588
            190      3.5012121      79.458877
            191      3.4987533      79.468274
            192      3.5017051      79.463371
            193      3.4987493      79.501007
            194      3.5013358      79.480011
            195      3.4978156      79.502892
            196      3.4959451      79.521826
            197      3.4999745      79.488878
            198      3.4938325      79.510044
            199      3.4938455      79.504981
            200      3.4808333      79.475485
            201      3.4862233      79.476745
            202      3.4873939      79.478741
            203      3.4858792      79.481111
            204      3.4889455      79.492326
            205      3.4786311      79.503879
            206      3.4819995      79.518077
            207      3.4794645      79.492995
            208      3.4802012      79.458218
            209      3.4760739      79.472396
            210      3.4717184      79.498541
            211      3.4769599      79.515842
            212      3.4755257      79.508459
            213      3.4705047      79.516670
            214      3.4722648      79.497515
            215      3.4676884      79.509106
            216      3.4660394      79.554928
            217      3.4634453      79.517030
            218      3.4646437      79.511894
            219      3.4647803      79.510050
            220      3.4547030      79.543259
            221      3.4607750      79.500246
            222      3.4625488      79.527554
            223      3.4649338      79.540458
            224      3.4575202      79.509694
            225      3.4562495      79.515776
            226      3.4502795      79.522163
            227      3.4523141      79.514246
            228      3.4555453      79.535713
            229      3.4506612      79.592298
            230      3.4375507      79.519087
            231      3.4535779      79.498455
            232      3.4454152      79.503928
            233      3.4500402      79.508407
            234      3.4493045      79.526407
            235      3.4430427      79.545758
            236      3.4480342      79.548796
            237      3.4430288      79.538074
            238      3.4407635      79.477888
            239      3.4436394      79.514014
            240      3.4400868      79.520956
            241      3.4341013      79.526375
            242      3.4402924      79.507941
            243      3.4398401      79.520881
            244      3.4345081      79.530348
            245      3.4292610      79.521467
            246      3.4336893      79.545832
            247      3.4281342      79.553836
            248      3.4210477      79.520898
            249      3.4305795      79.530950
            250      3.4292643      79.509092
            251      3.4229047      79.502255
            252      3.4211193      79.476768
            253      3.4242753      79.487740
            254      3.4215376      79.484370
            255      3.4227126      79.491282
            256      3.4217720      79.505876
            257      3.4175327      79.510861
            258      3.4251562      79.522755
            259      3.4174065      79.502940
            260      3.4161722      79.496144
            261      3.4175703      79.492712
            262      3.4130544      79.488825
            263      3.4158844      79.484111
            264      3.4151517      79.472681
            265      3.4101283      79.464646
            266      3.4065122      79.504487
            267      3.4070775      79.515281
            268      3.4112995      79.478496
            269      3.4059716      79.478782
            270      3.4052661      79.511770
            271      3.4062779      79.522127
            272      3.4007726      79.491490
            273      3.4022872      79.484223
            274      3.4058039      79.484483
            275      3.4029184      79.484979
            276      3.3969354      79.488051
            277      3.3973806      79.480786
            278      3.3984887      79.509171
            279      3.3979308      79.511157
            280      3.3955782      79.506827
            281      3.3970072      79.517095
            282      3.3921860      79.492497
            283      3.4016661      79.500311
            284      3.3945204      79.512490
            285      3.3949398      79.531110
            286      3.3967543      79.476771
            287      3.3903910      79.475219
            288      3.3897270      79.494274
            289      3.3869294      79.594302
            290      3.3913607      79.716304
            291      3.3874113      79.707413
            292      3.3863107      79.703959
            293      3.3877953      79.692346
            294      3.3872748      79.691227
            295      3.3833411      79.676963
            296      3.3870383      79.696391
            297      3.3827323      79.686599
            298      3.3847484      79.696294
            299      3.3809765      79.675825
            300      3.3840606      79.695035
            301      3.3802998      79.706047
            302      3.3790604      79.695440
            303      3.3759887      79.714343
            304      3.3766435      79.693460
            305      3.3716360      79.670626
            306      3.3766590      79.662803
            307      3.3735781      79.644888
            308      3.3762630      79.650175
            309      3.3715153      79.643632
            310      3.3655700      79.625072
            311      3.3700444      79.661499
            312      3.3735193      79.694296
            313      3.3717090      79.692079
            314      3.3705004      79.714859
            315      3.3718011      79.685558
            316      3.3657655      79.696017
            317      3.3684754      79.706065
            318      3.3665915      79.685742
            319      3.3688940      79.708022
            320      3.3663748      79.707714
            321      3.3675776      79.705346
            322      3.3646921      79.714205
            323      3.3605583      79.705639
            324      3.3663404      79.718099
            325      3.3607230      79.727873
            326      3.3645590      79.709819
            327      3.3580356      79.705604
            328      3.3647938      79.706160
            329      3.3629964      79.700627
            330      3.3598794      79.674749
            331      3.3531982      79.674745
            332      3.3546038      79.675052
            333      3.3534040      79.689901
            334      3.3557348      79.670696
            335      3.3549102      79.677214
            336      3.3506699      79.688768
            337      3.3557627      79.693453
            338      3.3566491      79.728631
            339      3.3519696      79.713019
            340      3.3553314      79.703061
            341      3.3471646      79.701638
            342      3.3527529      79.744275
            343      3.3512336      79.651070
            344      3.3493177      79.664262
            345      3.3462444      79.665898
            346      3.3479060      79.660390
            347      3.3506379      79.669534
            348      3.3447039      79.707896
            349      3.3435756      79.569499
            350      3.3481705      79.535134
            351      3.3466236      79.426263
            352      3.3381376      79.454224
            353      3.3446676      79.455311
            354      3.3445739      79.411591
            355      3.3452339      79.454513
            356      3.3451528      79.419599
            357      3.3387710      79.446557
            358      3.3423475      79.453084
            359      3.3407783      79.428353
            360      3.3364029      79.415629
            361      3.3407346      79.428799
            362      3.3416132      79.416085
            363      3.3359055      79.419854
            364      3.3347197      79.416377
            365      3.3363739      79.425079
            366      3.3293144      79.412096
            367      3.3337959      79.435098
            368      3.3320764      79.446373
            369      3.3327624      79.456628
            370      3.3318150      79.434353
            371      3.3300948      79.412577
            372      3.3358309      79.403204
            373      3.3318158      79.451754
            374      3.3279425      79.460379
            375      3.3352276      79.452411
            376      3.3355623      79.436281
            377      3.3266128      79.439984
            378      3.3271307      79.456558
            379      3.3307935      79.440272
            380      3.3315812      79.471774
            381      3.3280065      79.481832
            382      3.3260815      79.453793
            383      3.3245714      79.413843
            384      3.3293594      79.414040
            385      3.3246622      79.435903
            386      3.3192756      79.442007
            387      3.3180607      79.432215
            388      3.3266969      79.427174
            389      3.3238241      79.428599
            390      3.3239769      79.414388
            391      3.3208408      79.416831
            392      3.3291086      79.394041
            393      3.3161284      79.378072
            394      3.3135022      79.476013
            395      3.3192355      79.450211
            396      3.3229527      79.396129
            397      3.3180735      79.407070
            398      3.3171398      79.411899
            399      3.3107067      79.403990
            400      3.3171535      79.410815
            401      3.3163398      79.438204
            402      3.3160905      79.419546
            403      3.3169759      79.436183
            404      3.3130828      79.421533
            405      3.3142348      79.392256
            406      3.3116487      79.417111
            407      3.3162540      79.416109
            408      3.3133047      79.415694
            409      3.3125846      79.494700
            410      3.3134352      79.418758
            411      3.3136158      79.396451
            412      3.3120115      79.419650
            413      3.3145607      79.408203
            414      3.3104067      79.410903
            415      3.3088966      79.423088
            416      3.3136380      79.400692
            417      3.3088072      79.418711
            418      3.3082891      79.382055
            419      3.3054421      79.405780
            420      3.3050328      79.401913
            421      3.3060393      79.394462
            422      3.3098174      79.410875
            423      3.3121873      79.365288
            424      3.3072317      79.404795
            425      3.3038294      79.393045
            426      3.3045525      79.393924
            427      3.3057095      79.417177
            428      3.3066167      79.382699
            429      3.3061060      79.396318
            430      3.3008532      79.391447
            431      3.3034048      79.419158
            432      3.3007758      79.416178
            433      3.3088968      79.401271
            434      3.2981494      79.414901
            435      3.2987182      79.396686
            436      3.2924392      79.429015
            437      3.2995151      79.426661
            438      3.2973288      79.424370
            439      3.2965869      79.405201
            440      3.2987410      79.431247
            441      3.3011576      79.441189
            442      3.2941054      79.431984
            443      3.2997395      79.430290
            444      3.2993499      79.433705
            445      3.2950627      79.391229
            446      3.2983470      79.367711
            447      3.2954126      79.399544
            448      3.2947699      79.441598
            449      3.3018696      79.456257
            450      3.2927831      79.437013
            451      3.3082569      79.477481
            452      3.2931741      79.432918
            453      3.2930942      79.439451
            454      3.2907429      79.458002
            455      3.2923028      79.448012
            456      3.2939926      79.436517
            457      3.2908452      79.431740
            458      3.2915496      79.427453
            459      3.2981103      79.423252
            460      3.2943283      79.414622
            461      3.2868216      79.409311
            462      3.2900688      79.416146
            463      3.2868174      79.444786
            464      3.2895534      79.420868
            465      3.2888316      79.451530
            466      3.2864892      79.449306
            467      3.2888637      79.448394
            468      3.2876119      79.499163
            469      3.2853101      79.534864
            470      3.2888680      79.439664
            471      3.2777517      79.401543
            472      3.2862349      79.403393
            473      3.2900945      79.410018
            474      3.2839175      79.413962
            475      3.2858797      79.427274
            476      3.2854220      79.419585
            477      3.2903623      79.364381
            478      3.2818622      79.368216
            479      3.2911677      79.360890
            480      3.2869850      79.448175
            481      3.2810817      79.485831
            482      3.2798292      79.471613
            483      3.2846023      79.424349
            484      3.2771406      79.411994
            485      3.2790892      79.420750
            486      3.2825829      79.421302
            487      3.2823816      79.441713
            488      3.2862457      79.452944
            489      3.2804024      79.410822
            490      3.2868701      79.435855
            491      3.2791307      79.438560
            492      3.2776305      79.418403
            493      3.2788697      79.421775
            494      3.2754341      79.400319
            495      3.2820559      79.415863
            496      3.2777934      79.427875
            497      3.2772842      79.528032
            498      3.2693903      80.698936
            499      3.2781457      81.142874
            500      3.2817608      82.939036
