      Iteration         Energy           Time
              1      4.1064455      127.51656
              2      4.0384957      119.42330
              3      3.9822221      122.41988
              4      3.9290383      130.40002
              5      3.8661453      133.03485
              6      3.8332596      142.11755
              7      3.7907737      143.48806
              8      3.7435125      142.72894
              9      3.7127986      133.98659
             10      3.6739414      114.02955
             11      3.6424679      124.27788
             12      3.6168965      114.03158
             13      3.5990771      126.46310
             14      3.5695061      131.22155
             15      3.5516832      125.18029
             16      3.5337433      132.50791
             17      3.5026860      134.69462
             18      3.4879786      129.56424
             19      3.4813980      112.56607
             20      3.4555326      108.73188
             21      3.4465690      111.62291
             22      3.4326539      100.46301
             23      3.4232258      99.678769
             24      3.4101296      110.31937
             25      3.3980684      117.89261
             26      3.3840074      104.86616
             27      3.3794916      110.29673
             28      3.3660298      122.54055
             29      3.3597168      139.05149
             30      3.3459690      148.77475
             31      3.3497022      138.83152
             32      3.3373810      146.08542
             33      3.3334380      140.17694
             34      3.3195234      131.96070
             35      3.3136797      130.63769
             36      3.3145310      150.25820
             37      3.3039140      146.96273
             38      3.3018953      131.34920
             39      3.2957684      136.16145
             40      3.2927805      138.40247
             41      3.2821175      128.87905
             42      3.2827551      113.17510
             43      3.2747148      125.00634
             44      3.2767206      134.13046
             45      3.2644314      136.13297
             46      3.2698751      139.22154
             47      3.2621471      142.82155
             48      3.2573857      138.90497
             49      3.2576109      131.72755
             50      3.2551244      115.72578
             51      3.2476132      137.16529
             52      3.2509798      126.75801
             53      3.2497369      127.47499
             54      3.2399268      133.24747
             55      3.2413544      146.11740
             56      3.2375052      141.45340
             57      3.2349888      137.31862
             58      3.2317262      137.12743
             59      3.2352965      142.03585
             60      3.2302003      144.94281
             61      3.2232492      135.43838
             62      3.2270430      135.94519
             63      3.2278357      132.86795
             64      3.2187467      158.58173
             65      3.2221300      135.24128
             66      3.2161804      124.53722
             67      3.2183631      128.06003
             68      3.2139268      136.84783
             69      3.2110674      131.51879
             70      3.2122575      154.87519
             71      3.2109978      139.22404
             72      3.2128353      127.09892
             73      3.2142022      134.10630
             74      3.2065573      115.44746
             75      3.2082722      109.65545
             76      3.2133535      119.77904
             77      3.2055561      141.54817
             78      3.2047141      142.99101
             79      3.2022137      139.90869
             80      3.2045063      131.18744
             81      3.1993264      141.63203
             82      3.1990455      135.89078
             83      3.2037958      126.99438
             84      3.2003501      115.49889
             85      3.1967380      135.16987
             86      3.2035474      113.87005
             87      3.1992487      124.73062
             88      3.2042183      121.69497
             89      3.1970653      129.19377
             90      3.1940168      129.42778
             91      3.1967010      141.55008
             92      3.1971634      135.07134
             93      3.1989140      126.13219
             94      3.1952742      139.77391
             95      3.1985809      142.88296
             96      3.1952819      124.31803
             97      3.1891406      144.00807
             98      3.1924259      144.41093
             99      3.1934241      119.97218
            100      3.1937605      130.91240
            101      3.1934177      121.12775
            102      3.1866265      101.87569
            103      3.1957546      104.70209
            104      3.1892284      108.47345
            105      3.1898968      130.21837
            106      3.2004746      129.25022
            107      3.1912709      128.65173
            108      3.1921941      138.03597
            109      3.1863898      146.63880
            110      3.1845117      126.29967
            111      3.1918004      114.79706
            112      3.1895734      102.51545
            113      3.1852938      111.05187
            114      3.1845018      138.52085
            115      3.1887648      138.54709
            116      3.1867570      130.42593
            117      3.1860460      124.07192
            118      3.1869224      109.55491
            119      3.1859790      121.07309
            120      3.1862478      121.36759
            121      3.1855395      119.19685
            122      3.1890437      133.63380
            123      3.1869396      135.05479
            124      3.1852872      128.58647
            125      3.1892615      139.02618
            126      3.1870608      138.75800
            127      3.1844128      140.74335
            128      3.1863560      151.59948
            129      3.1834914      141.46933
            130      3.1838533      146.68422
            131      3.1926498      159.92254
            132      3.1861480      148.19576
            133      3.1845681      157.36700
            134      3.1854149      142.99014
            135      3.1815852      127.62766
            136      3.1847870      122.98863
            137      3.1802198      125.81121
            138      3.1823749      142.55234
            139      3.1851587      136.31985
            140      3.1846659      118.79532
            141      3.1843094      131.72470
            142      3.1822561      131.85975
            143      3.1829929      119.52742
            144      3.1856419      123.29504
            145      3.1812278      124.73815
            146      3.1828595      134.19561
            147      3.1779451      126.30004
            148      3.1849264      121.37633
            149      3.1813244      134.73084
            150      3.1805920      135.21896
            151      3.1829840      144.01401
            152      3.1813230      144.47409
            153      3.1809821      144.99613
            154      3.1854727      142.19444
            155      3.1845615      143.19485
            156      3.1769806      116.70858
            157      3.1834931      117.25839
            158      3.1815399      119.07416
            159      3.1834626      141.85345
            160      3.1789111      128.95377
            161      3.1822172      105.13453
            162      3.1839892      119.23123
            163      3.1811424      107.97495
            164      3.1760193      103.46189
            165      3.1819939      113.80606
            166      3.1733639      134.06991
            167      3.1845086      136.91279
            168      3.1787026      130.83269
            169      3.1793103      131.43570
            170      3.1794764      125.95862
