      Iteration         Energy
              1     0.62636280
              2     0.62459187
              3     0.62495066
              4     0.62138982
              5     0.63367992
              6     0.62639733
              7     0.61859433
              8     0.62595369
              9     0.62224349
             10     0.62452907
             11     0.62332521
             12     0.62964947
             13     0.62684991
             14     0.62517419
             15     0.62175607
             16     0.62609019
             17     0.62122463
             18     0.62942715
             19     0.62441388
             20     0.62166726
             21     0.62617674
             22     0.62425027
             23     0.62378352
             24     0.63047768
             25     0.62348425
             26     0.62941527
             27     0.62711855
             28     0.63003848
             29     0.62090212
             30     0.61761096
             31     0.62239114
             32     0.62626766
             33     0.62136771
             34     0.63154535
             35     0.62202255
             36     0.62472061
             37     0.62559036
             38     0.62170543
             39     0.62128603
             40     0.62516762
             41     0.62787438
             42     0.62920405
             43     0.62205816
             44     0.62069882
             45     0.62753815
             46     0.62440344
             47     0.62118770
             48     0.62139176
             49     0.62635493
             50     0.62460665
             51     0.62436437
             52     0.61920587
             53     0.62741818
             54     0.62467004
             55     0.62054877
             56     0.62512153
             57     0.61865439
             58     0.62325421
             59     0.62683088
             60     0.62413205
             61     0.61557456
             62     0.62287980
             63     0.62058163
             64     0.62327494
             65     0.62772791
             66     0.63164379
             67     0.62558441
             68     0.62426866
             69     0.62678919
             70     0.62649328
             71     0.62224610
             72     0.62441603
             73     0.62622645
             74     0.62728089
             75     0.62642351
             76     0.62351587
             77     0.62521875
             78     0.62760447
             79     0.62468720
             80     0.62412558
             81     0.62447740
             82     0.61947564
             83     0.62702226
             84     0.62553228
             85     0.62527770
             86     0.62780197
             87     0.62938747
             88     0.62412651
             89     0.62399060
             90     0.62662484
             91     0.62809632
             92     0.62623101
             93     0.62888916
             94     0.62648384
             95     0.62498127
             96     0.62910036
             97     0.62468185
             98     0.62279162
             99     0.62643906
            100     0.62711824
