      Iteration         Energy
              1     0.67720382
              2     0.68101485
              3     0.67749830
              4     0.68005071
              5     0.67375119
              6     0.67044904
              7     0.67400429
              8     0.67599190
              9     0.66460375
             10     0.66663651
             11     0.66672903
             12     0.66577212
             13     0.66996715
             14     0.65769373
             15     0.65998886
             16     0.65748052
             17     0.66135407
             18     0.65994493
             19     0.65366867
             20     0.65544750
             21     0.65610203
             22     0.65283199
             23     0.65700408
             24     0.64211003
             25     0.64890649
             26     0.65362698
             27     0.64883587
             28     0.65213257
             29     0.64898396
             30     0.65162387
             31     0.64851731
             32     0.64477609
             33     0.64446851
             34     0.65169983
             35     0.64558740
             36     0.64241148
             37     0.64262499
             38     0.64024112
             39     0.64228040
             40     0.64046892
             41     0.64108175
             42     0.63830912
             43     0.64254701
             44     0.64021159
             45     0.63773881
             46     0.63933139
             47     0.64011904
             48     0.64259242
             49     0.64004251
             50     0.63422662
