      Iteration         Energy           Time
              1      4.0638014      149.03631
              2      4.0286822      158.89636
              3      3.9893893      145.18000
              4      3.9544305      146.52615
              5      3.9228887      148.22450
              6      3.8937319      139.15464
              7      3.8665538      133.01431
              8      3.8404277      134.42485
              9      3.8158988      155.22905
             10      3.7941575      141.96935
             11      3.7722422      162.00336
             12      3.7546422      154.57840
             13      3.7350969      172.38220
             14      3.7177264      168.89955
             15      3.7016629      167.56992
             16      3.6875567      173.25326
             17      3.6734517      174.51746
             18      3.6580670      173.04717
             19      3.6451288      173.40802
             20      3.6338659      173.57551
             21      3.6202089      174.12191
             22      3.6111406      165.48725
             23      3.6052456      156.32403
             24      3.5906768      134.50624
             25      3.5819613      143.24804
             26      3.5720864      138.88339
             27      3.5650119      139.16678
             28      3.5590208      134.68280
             29      3.5505249      147.61942
             30      3.5418097      128.08044
             31      3.5356473      146.54091
             32      3.5296867      132.99353
             33      3.5232658      132.70035
             34      3.5155870      142.56290
             35      3.5130306      142.91330
             36      3.5076970      159.27222
             37      3.5006561      160.72078
             38      3.4964454      163.08854
             39      3.4933730      155.92014
             40      3.4876214      159.58487
             41      3.4836011      144.92219
             42      3.4802215      126.83707
             43      3.4764523      134.50260
             44      3.4708885      129.98099
             45      3.4669483      120.41923
             46      3.4629432      128.42466
             47      3.4608516      126.55413
             48      3.4569075      112.85758
             49      3.4547920      129.01837
             50      3.4515535      127.32251
             51      3.4480969      120.68012
             52      3.4471401      135.15746
             53      3.4436841      131.14419
             54      3.4426414      135.30251
             55      3.4398855      129.42184
             56      3.4372408      114.91095
             57      3.4348397      140.52023
             58      3.4327663      151.81581
             59      3.4308152      135.97541
             60      3.4310305      139.69479
             61      3.4289135      128.74212
             62      3.4252367      136.85024
             63      3.4241668      128.55539
             64      3.4207604      117.23406
             65      3.4203889      118.15351
             66      3.4230500      146.01168
             67      3.4191909      131.78381
             68      3.4160101      126.90486
             69      3.4142473      142.42601
             70      3.4138919      131.74496
             71      3.4118797      147.04448
             72      3.4094957      145.99810
             73      3.4100100      127.85063
             74      3.4100937      140.18382
             75      3.4092373      149.87540
             76      3.4077792      143.38908
             77      3.4046497      147.28553
             78      3.4061917      127.81784
             79      3.4059673      127.51343
             80      3.4030762      136.15051
             81      3.4021186      126.81406
             82      3.4012932      127.95642
             83      3.4004770      132.28697
             84      3.4001652      125.04232
             85      3.3992149      138.14659
             86      3.3988481      140.43984
             87      3.3992942      134.88661
             88      3.3978942      135.50240
             89      3.3960870      135.84936
             90      3.3985385      143.49431
             91      3.3954260      144.76090
             92      3.3947675      159.68511
             93      3.3925088      123.36716
             94      3.3931944      132.09019
             95      3.3944699      128.42701
             96      3.3914258      134.56999
             97      3.3936321      136.71320
             98      3.3910780      129.62298
             99      3.3918416      128.68302
            100      3.3903676      133.19141
            101      3.3905069      133.35502
            102      3.3876028      141.89242
            103      3.3893008      143.16074
            104      3.3900317      159.02621
            105      3.3896380      157.39710
            106      3.3888223      151.71400
            107      3.3893788      149.88217
            108      3.3897033      143.17011
            109      3.3887162      135.25153
            110      3.3860856      133.84602
            111      3.3874717      133.06089
            112      3.3872398      125.55927
            113      3.3876774      131.56196
            114      3.3867473      130.43126
            115      3.3854030      126.56282
            116      3.3861525      124.78003
            117      3.3852850      127.94985
            118      3.3850224      122.45933
            119      3.3862471      122.42097
            120      3.3858162      117.27990
            121      3.3847867      127.49923
            122      3.3876484      119.57641
            123      3.3839705      126.70907
            124      3.3857086      143.97130
            125      3.3834684      123.26584
            126      3.3840422      120.97510
            127      3.3851869      139.82750
            128      3.3832940      159.73355
            129      3.3846985      159.49660
            130      3.3833307      147.22429
            131      3.3835729      141.95307
            132      3.3835546      153.12628
            133      3.3835076      152.15417
            134      3.3840664      142.73847
            135      3.3847197      127.18339
            136      3.3844212      136.61029
            137      3.3835690      144.93887
            138      3.3826525      141.92906
            139      3.3838583      129.45175
            140      3.3845599      116.35900
            141      3.3818656      123.27341
            142      3.3816614      142.84213
            143      3.3815629      141.17838
            144      3.3824493      130.78072
            145      3.3815922      139.69055
            146      3.3832922      150.12595
            147      3.3819577      132.31188
            148      3.3824471      140.37855
            149      3.3817560      124.50869
            150      3.3813577      108.33729
            151      3.3811994      113.94767
            152      3.3822518      142.95742
            153      3.3815440      144.31083
            154      3.3822613      160.89361
            155      3.3809843      118.60226
            156      3.3822415      124.22880
            157      3.3816786      110.20945
            158      3.3819876      103.74002
            159      3.3832455      108.51242
            160      3.3818294      118.03594
            161      3.3831472      122.71149
            162      3.3815878      117.95995
            163      3.3819263      119.15829
            164      3.3818055      116.49299
            165      3.3816700      129.89849
            166      3.3808277      131.47199
            167      3.3815142      134.21949
            168      3.3832629      139.15690
            169      3.3815951      160.46287
            170      3.3820347      148.20034
            171      3.3805325      155.82905
            172      3.3807773      150.77848
            173      3.3809478      140.80496
            174      3.3834449      128.84277
            175      3.3825678      132.94821
            176      3.3813534      144.34964
            177      3.3809552      141.28229
            178      3.3809629      155.39291
            179      3.3798146      141.57008
            180      3.3803666      134.50096
            181      3.3805478      129.10970
            182      3.3811870      133.21548
            183      3.3826653      136.71583
            184      3.3808376      146.49453
            185      3.3822183      134.78195
            186      3.3799565      145.12494
            187      3.3816113      135.33897
            188      3.3823434      126.41403
            189      3.3825977      119.33001
            190      3.3829135      129.61458
            191      3.3812997      128.72416
            192      3.3813984      137.64048
            193      3.3817807      114.16602
            194      3.3821520      118.93983
            195      3.3804512      117.15334
            196      3.3804734      133.42137
            197      3.3825557      124.35094
            198      3.3817629      123.37835
            199      3.3814907      121.76937
            200      3.3813650      122.81731
            201      3.3831560      137.15415
            202      3.3813520      154.65813
            203      3.3803393      137.32652
            204      3.3816301      144.89420
            205      3.3804752      146.07891
            206      3.3799209      153.10652
            207      3.3826587      151.92581
            208      3.3834958      142.82725
            209      3.3804655      151.44019
            210      3.3816117      144.07751
            211      3.3803691      134.74458
            212      3.3811635      137.75368
            213      3.3812547      136.96791
            214      3.3799079      133.98152
            215      3.3812003      130.81545
            216      3.3809852      131.25108
            217      3.3824635      141.41784
            218      3.3814027      144.07559
            219      3.3806533      142.95890
            220      3.3810383      148.02682
            221      3.3816385      144.59499
            222      3.3807051      153.78617
            223      3.3816504      150.01305
            224      3.3806598      143.88840
            225      3.3817169      152.03451
            226      3.3820749      143.54311
            227      3.3805263      134.39046
            228      3.3815039      139.38944
            229      3.3823125      138.40011
            230      3.3817890      130.26575
            231      3.3809757      139.41307
            232      3.3811028      138.99357
            233      3.3800140      128.88673
            234      3.3809373      122.02640
            235      3.3808162      140.28740
            236      3.3821502      139.06024
            237      3.3809378      144.69410
            238      3.3811398      148.68077
            239      3.3822892      151.33864
            240      3.3811737      153.18388
            241      3.3827003      168.03865
            242      3.3810513      149.85249
            243      3.3799430      140.02101
            244      3.3814189      128.40861
            245      3.3816017      143.50424
            246      3.3796491      145.14977
            247      3.3808234      151.74551
            248      3.3815792      160.98353
            249      3.3812996      158.44318
            250      3.3802079      152.73969
            251      3.3820806      158.53687
            252      3.3814361      152.27567
            253      3.3817006      133.28438
            254      3.3817180      132.84503
            255      3.3809421      141.13362
            256      3.3816768      144.01322
            257      3.3809677      136.03820
            258      3.3801524      136.25292
            259      3.3806519      140.41464
            260      3.3812599      138.85289
            261      3.3824051      144.96332
            262      3.3809916      160.13344
            263      3.3818268      156.49096
            264      3.3828129      150.52432
            265      3.3807371      164.30556
            266      3.3821156      156.15413
            267      3.3796154      155.91520
            268      3.3812044      151.30762
            269      3.3820965      155.10475
            270      3.3830137      150.14760
            271      3.3816147      157.36254
            272      3.3804695      160.18265
            273      3.3829745      156.64023
            274      3.3807696      153.24755
            275      3.3812108      162.64377
            276      3.3814863      168.94736
            277      3.3812443      141.60842
            278      3.3813769      142.21747
            279      3.3813529      122.20732
            280      3.3811977      119.95308
            281      3.3840699      131.17610
            282      3.3824330      139.51062
            283      3.3832759      145.78517
            284      3.3822516      134.11518
            285      3.3822550      144.04531
            286      3.3812202      146.39674
            287      3.3813473      143.41905
            288      3.3828242      137.95290
            289      3.3811943      131.17687
            290      3.3814035      134.28056
            291      3.3815372      122.77142
            292      3.3818439      129.49502
            293      3.3822370      134.50390
            294      3.3820921      138.27077
            295      3.3828006      140.75540
            296      3.3805607      124.59302
            297      3.3820577      119.04148
            298      3.3819176      104.08907
            299      3.3814637      124.38724
            300      3.3807992      107.58132
            301      3.3806635      124.86306
            302      3.3822687      123.35923
            303      3.3820139      121.17693
            304      3.3813722      128.61496
            305      3.3826626      132.14521
            306      3.3818778      131.21735
            307      3.3828589      132.18474
            308      3.3908768      130.32250
            309      3.3861628      138.51463
            310      3.3824765      112.90585
            311      3.3820490      119.61394
            312      3.3821287      125.50834
            313      3.3812038      118.67217
            314      3.3817303      138.56633
            315      3.3826830      124.40197
            316      3.3807284      112.67307
            317      3.3818176      123.13863
            318      3.3819541      127.23877
            319      3.3810658      146.70634
            320      3.3824965      148.81193
            321      3.3813157      131.17170
            322      3.3810854      127.53339
            323      3.3818119      132.49853
            324      3.3821520      139.85453
            325      3.3807304      137.13705
            326      3.3830720      135.53223
            327      3.3820371      117.46257
            328      3.3810756      118.25276
            329      3.3808438      133.51031
            330      3.3816138      125.21443
            331      3.3817611      126.09467
            332      3.3824525      116.09335
            333      3.3809786      122.03931
            334      3.3819505      121.92226
            335      3.3834921      124.05705
            336      3.3815369      120.75107
            337      3.3820205      122.60562
            338      3.3829460      122.19639
            339      3.3807900      120.71615
            340      3.3816505      131.79880
            341      3.3828093      134.92781
            342      3.3813559      140.18281
            343      3.3863011      142.64388
            344      3.3819672      152.39731
            345      3.3808228      159.94602
            346      3.3798707      155.55116
            347      3.3817099      146.13620
            348      3.3810083      144.95382
            349      3.3815405      154.84169
            350      3.3802528      146.28944
            351      3.3815870      148.87980
            352      3.3823202      150.49409
            353      3.3812559      143.75033
            354      3.3834301      144.89919
            355      3.3818190      140.82973
            356      3.3826012      148.03982
            357      3.3817507      134.61073
            358      3.3824728      146.05028
            359      3.3815996      145.10962
            360      3.3832805      128.73825
            361      3.3830215      132.23944
            362      3.3830423      138.50933
            363      3.3814302      150.55287
            364      3.3808051      149.24512
            365      3.3818293      140.83118
            366      3.3808708      146.78755
            367      3.3815025      151.87920
            368      3.3843481      151.78404
            369      3.3835517      139.46557
            370      3.3819603      135.19151
            371      3.3828647      133.94176
            372      3.3833426      148.38760
            373      3.3813452      125.47769
            374      3.3832094      130.81782
            375      3.3800877      118.64205
            376      3.3831265      131.91129
            377      3.3847347      136.51729
            378      3.3824611      143.59660
            379      3.3826194      124.16283
            380      3.3824690      132.96620
            381      3.3816344      116.03182
            382      3.3801961      117.12188
            383      3.3833472      120.52065
            384      3.3818611      124.80973
            385      3.3830173      126.54735
            386      3.3829616      127.52006
            387      3.3838683      135.92179
            388      3.3843999      128.13848
            389      3.3813176      112.01248
            390      3.3823987      121.18555
            391      3.3816017      132.97227
            392      3.3815040      135.58897
            393      3.3824421      141.88401
            394      3.3816578      140.03456
            395      3.3805085      136.60324
            396      3.3825982      125.20689
            397      3.3829521      134.21428
            398      3.3845394      146.02602
            399      3.3833957      136.50228
            400      3.3829711      138.64051
            401      3.3818281      136.17340
            402      3.3836855      137.10460
            403      3.3823795      152.54018
            404      3.3809831      138.55326
            405      3.3834857      131.81413
            406      3.3840426      137.47529
            407      3.3810230      149.23887
            408      3.3824219      138.95748
            409      3.3823183      142.52071
            410      3.3827647      128.56446
            411      3.3826733      132.09285
            412      3.3861520      129.54114
            413      3.3843951      131.98465
            414      3.3811743      138.74206
            415      3.3824419      127.26184
            416      3.3829410      147.90107
            417      3.3820198      142.70890
            418      3.3820264      135.34183
            419      3.3838854      148.28218
            420      3.3830343      149.27882
            421      3.3816432      148.24030
            422      3.3817749      156.96299
            423      3.3817417      139.43279
            424      3.3826572      127.63056
            425      3.3826614      143.56953
