      Iteration         Energy
              1     0.50005572
              2     0.50003746
              3     0.50000275
              4     0.50007265
              5     0.49992544
              6     0.49993975
              7     0.49998536
              8     0.50000858
              9     0.49996010
             10     0.50004371
             11     0.50001384
             12     0.49996683
             13     0.50003064
             14     0.50002524
             15     0.50006782
             16     0.49998753
             17     0.50001995
             18     0.49997833
             19     0.50002139
             20     0.50006224
             21     0.49998516
             22     0.49999640
             23     0.49999409
             24     0.49999391
             25     0.50006306
             26     0.50002059
             27     0.50000930
             28     0.50003166
             29     0.49995221
             30     0.50002596
             31     0.50001783
             32     0.49999198
             33     0.49999304
             34     0.50004420
             35     0.50003387
             36     0.50000882
             37     0.49999378
             38     0.50001766
             39     0.50000802
             40     0.50001470
             41     0.49999032
             42     0.49999526
             43     0.50000972
             44     0.50002745
             45     0.50001204
             46     0.50005312
             47     0.49999108
             48     0.50005390
             49     0.50001421
             50     0.50003632
             51     0.50002522
             52     0.50002727
             53     0.49996859
             54     0.49999789
             55     0.50001860
             56     0.49999059
             57     0.50000747
             58     0.50002519
             59     0.50005264
             60     0.50003180
             61     0.50000625
             62     0.50001426
             63     0.50002046
             64     0.50000723
             65     0.50003192
             66     0.49999341
             67     0.50000210
             68     0.50004606
             69     0.50002274
             70     0.50002863
             71     0.49999296
             72     0.50002002
             73     0.50002611
             74     0.50000186
             75     0.50000191
             76     0.50001385
             77     0.50001559
             78     0.49999094
             79     0.50000968
             80     0.50000426
             81     0.50000636
             82     0.50002390
             83     0.50000783
             84     0.50000447
             85     0.50000958
             86     0.50001307
             87     0.50003335
             88     0.50000106
             89     0.50001421
             90     0.50001913
             91     0.50001130
             92     0.50001700
             93     0.50002163
             94     0.50000287
             95     0.50001054
             96     0.50002863
             97     0.50000291
             98     0.50000229
             99     0.50001495
            100     0.50001059
