      Iteration         Energy
              1     0.61032600
              2     0.62383465
              3     0.61851619
              4     0.58030940
              5     0.52392775
              6     0.58598108
              7     0.59030264
              8     0.59584992
              9     0.61102802
             10     0.59769796
             11     0.54448908
             12     0.56477940
             13     0.54766140
             14     0.53226411
             15     0.53816217
             16     0.56501173
             17     0.58308572
             18     0.53509897
             19     0.57699420
             20     0.55251654
             21     0.57885401
             22     0.55532182
             23     0.50303639
             24     0.54435947
             25     0.56371119
             26     0.55177198
             27     0.57414542
             28     0.51714015
             29     0.55435683
             30     0.52450274
             31     0.53882069
             32     0.53615550
             33     0.54167389
             34     0.52764802
             35     0.53034448
             36     0.52943323
             37     0.50814297
             38     0.52516841
             39     0.50922997
             40     0.53708606
             41     0.52286001
             42     0.54919701
             43     0.53143342
             44     0.52180834
             45     0.52009322
             46     0.53808213
             47     0.50577686
             48     0.50902707
             49     0.53390878
             50     0.50354299
