      Iteration         Energy           Time
              1      4.0278877      153.63819
              2      3.9702264      194.05357
              3      3.9350291      166.20735
              4      3.8810565      163.57999
              5      3.8400992      164.01884
              6      3.7995738      167.50814
              7      3.7699548      157.48332
              8      3.7312034      153.47047
              9      3.7092719      135.94299
             10      3.6734880      152.95129
             11      3.6473648      171.75964
             12      3.6295626      171.20498
             13      3.6071582      153.80152
             14      3.5815668      144.05901
             15      3.5753104      144.32605
             16      3.5519540      154.05090
             17      3.5255978      168.60732
             18      3.5112665      160.48499
             19      3.5018709      150.33881
             20      3.4852838      161.42719
             21      3.4732407      151.35156
             22      3.4577302      165.40469
             23      3.4453423      162.32876
             24      3.4384907      153.16623
             25      3.4232664      171.12823
             26      3.4119503      143.79362
             27      3.4045871      138.26439
             28      3.3997899      152.09904
             29      3.3879484      134.46849
             30      3.3851419      157.68051
             31      3.3748151      173.13112
             32      3.3685291      154.53396
             33      3.3565544      161.24537
             34      3.3517532      160.07544
             35      3.3474903      152.09008
             36      3.3380841      143.10934
             37      3.3303007      151.11570
             38      3.3316073      156.22895
             39      3.3222825      157.04976
             40      3.3163511      149.73889
             41      3.3110780      154.69183
             42      3.3089852      151.66866
             43      3.3047703      147.26828
             44      3.2975567      143.92463
             45      3.2962323      131.76101
             46      3.2852783      134.13972
             47      3.2843262      144.14806
             48      3.2812194      157.58846
             49      3.2796208      163.47823
             50      3.2763016      167.67229
             51      3.2728918      160.64696
             52      3.2744327      142.54629
             53      3.2696836      163.22047
             54      3.2601851      149.81117
             55      3.2638612      133.34506
             56      3.2629351      131.76590
             57      3.2604296      119.69702
             58      3.2597251      124.35726
             59      3.2520451      123.71378
             60      3.2558747      127.50777
             61      3.2494310      137.23165
             62      3.2456940      149.42903
             63      3.2393588      159.44414
             64      3.2414288      140.14972
             65      3.2437216      131.29583
             66      3.2350270      153.54567
             67      3.2427582      158.43045
             68      3.2380659      157.57398
             69      3.2359154      134.36502
             70      3.2325629      158.90298
             71      3.2347467      148.77863
             72      3.2322322      129.32424
             73      3.2284020      142.03334
             74      3.2265840      141.43966
             75      3.2264115      147.97144
             76      3.2301720      177.63941
             77      3.2208852      142.01038
             78      3.2199626      129.42812
             79      3.2208921      141.13132
             80      3.2220829      149.50295
             81      3.2182384      145.55691
             82      3.2184207      156.47146
             83      3.2152643      163.71290
             84      3.2182526      161.07184
             85      3.2120801      146.56268
             86      3.2146801      151.06783
             87      3.2090341      150.23655
             88      3.2151620      169.42211
             89      3.2132584      156.02338
             90      3.2127332      145.72637
             91      3.2116627      158.77064
             92      3.2090407      156.40251
             93      3.2091299      149.92789
             94      3.2012982      167.68498
             95      3.2048579      140.96164
             96      3.2022728      154.76674
             97      3.2016437      159.45175
             98      3.2061299      173.56368
             99      3.2061747      178.05785
            100      3.2075207      175.43643
            101      3.2020791      173.74054
            102      3.2019153      172.43339
            103      3.2047274      161.18326
            104      3.1986377      147.34361
            105      3.1995979      141.43948
            106      3.1995519      158.95520
            107      3.2012144      153.47882
            108      3.2016519      156.65531
            109      3.2022123      171.11840
            110      3.2007478      159.62218
            111      3.1966952      158.66338
            112      3.2019865      147.75917
            113      3.1951990      143.70560
            114      3.1959489      141.15482
            115      3.1978305      154.58201
            116      3.1934062      166.32124
            117      3.1915284      156.47023
            118      3.1939661      150.94315
            119      3.1964691      163.03480
            120      3.1972416      150.92141
            121      3.1989746      150.79903
            122      3.1948847      163.84123
            123      3.1955599      150.79928
            124      3.1897706      176.81464
            125      3.1939776      172.70877
            126      3.1919592      171.84342
            127      3.1918772      152.14306
            128      3.1942940      147.80642
            129      3.1942989      166.17464
            130      3.1888774      155.33913
            131      3.1899822      148.94091
            132      3.1845608      157.60889
            133      3.1905130      174.77810
            134      3.1887167      172.90629
            135      3.1902047      165.95332
            136      3.1876980      157.15024
            137      3.1873249      157.37984
            138      3.1910104      180.15997
            139      3.1873308      164.08698
            140      3.1824506      167.04490
            141      3.1921597      147.45779
            142      3.1879418      150.22421
            143      3.1855911      157.73182
            144      3.1882861      141.26712
            145      3.1856442      150.31469
            146      3.1876574      143.09958
            147      3.1889383      135.47968
            148      3.1888429      132.92718
            149      3.1854845      131.79268
            150      3.1864219      150.61132
            151      3.1860143      156.13076
            152      3.1876897      158.48046
            153      3.1830436      142.65732
            154      3.1852328      162.35014
            155      3.1827721      163.53092
            156      3.1802370      156.83793
            157      3.1860071      155.57793
            158      3.1861399      145.89801
            159      3.1865695      155.87137
            160      3.1838793      163.70786
            161      3.1816001      167.98585
            162      3.1883640      174.41901
            163      3.1846600      151.02071
            164      3.1825695      156.63590
            165      3.1802892      164.39286
            166      3.1840445      148.03567
            167      3.1823808      150.08544
            168      3.1786176      143.72225
            169      3.1791743      162.46171
            170      3.1811176      159.73567
            171      3.1829897      166.09655
            172      3.1829240      152.32427
            173      3.1845406      149.31594
            174      3.1803720      155.28261
